num_nodes,timestamp,last_round,last_received_message
2,2016-12-08_18:34:52.497408,4,Mens et manus.
2,2016-12-08_18:40:41.052653,10,I_AM_THE_LEADER
2,2016-12-08_18:47:58.183597,3,Mens et manus.
2,2016-12-08_18:53:09.757071,10,I_AM_THE_LEADER
2,2016-12-08_18:55:51.103732,10,I_AM_THE_LEADER
2,2016-12-08_18:59:03.423773,10,I_AM_THE_LEADER
2,2016-12-08_19:04:34.311339,10,I_AM_THE_LEADER
2,2016-12-08_19:08:11.049089,10,I_AM_THE_LEADER
2,2016-12-08_19:11:15.400973,10,I_AM_THE_LEADER
2,2016-12-08_19:16:20.262528,10,I_AM_THE_LEADER
4,2016-12-08_19:29:59.041200,8,Mens et manus.
4,2016-12-08_19:33:19.900863,10,I_AM_THE_LEADER
4,2016-12-08_19:36:31.048954,10,I_AM_THE_LEADER
4,2016-12-08_19:38:53.083948,1,Mens et manus.
4,2016-12-08_19:41:37.497629,1,Mens et manus.
4,2016-12-08_19:44:49.079482,3,Mens et manus.
4,2016-12-08_19:48:44.615027,8,Mens et manus.
4,2016-12-08_19:52:22.052516,10,I_AM_THE_LEADER
4,2016-12-08_19:56:06.189184,10,I_AM_THE_LEADER
4,2016-12-08_19:59:11.546028,10,I_AM_THE_LEADER
2,2016-12-08_20:02:18.619684,10,I_AM_THE_LEADER
2,2016-12-08_20:03:35.119973,4,Mens et manus.
