alg,timestamp,last_round,node_id,last_received_message
sync,2016-11-30_10:59:50.637815,1,154,Mens et manus.
sync,2016-11-30_11:02:30.614088,8,38,I_AM_THE_LEADER
sync,2016-11-30_11:04:10.079188,8,47,I_AM_THE_LEADER
sync,2016-11-30_11:04:52.790088,3,80,Mens et manus.
sync,2016-11-30_11:25:11.236530,8,71,I_AM_THE_LEADER
sync,2016-11-30_11:26:40.968539,8,222,I_AM_THE_LEADER
sync,2016-11-30_11:28:11.822870,8,72,I_AM_THE_LEADER
sync,2016-11-30_11:29:45.259230,8,45,I_AM_THE_LEADER
sync,2016-11-30_11:35:13.679509,8,231,I_AM_THE_LEADER
sync,2016-11-30_11:36:50.368820,8,148,I_AM_THE_LEADER
sync,2016-11-30_11:39:41.629706,8,58,I_AM_THE_LEADER
sync,2016-11-30_11:41:15.925377,8,4,I_AM_THE_LEADER
sync,2016-11-30_11:43:36.296011,8,89,I_AM_THE_LEADER
sync,2016-11-30_12:14:34.782017,1,70,Mens et manus.
sync,2016-11-30_12:16:31.111399,1,173,Mens et manus.
sync,2016-11-30_12:19:37.183913,8,28,I_AM_THE_LEADER
sync,2016-11-30_12:20:42.329844,1,79,Mens et manus.
sync,2016-11-30_12:26:35.060919,5,11,Mens et manus.
sync,2016-11-30_12:29:15.669040,8,36,I_AM_THE_LEADER
sync,2016-11-30_12:31:51.400095,8,223,I_AM_THE_LEADER
sync,2016-11-30_12:32:22.340452,1,100,Mens et manus.
sync,2016-11-30_12:35:48.271625,8,224,I_AM_THE_LEADER
sync,2016-11-30_12:37:25.261713,8,17,I_AM_THE_LEADER
sync,2016-11-30_12:41:18.674506,8,181,I_AM_THE_LEADER
sync,2016-11-30_12:42:58.081271,8,163,I_AM_THE_LEADER
sync,2016-11-30_12:43:57.020470,4,135,Mens et manus.
sync,2016-11-30_12:46:24.985650,8,63,I_AM_THE_LEADER
sync,2016-11-30_15:11:22.943916,3,199,Mens et manus.
sync,2016-11-30_15:14:52.032029,8,202,Mens et manus.
sync,2016-11-30_15:21:28.987877,8,25,I_AM_THE_LEADER
sync,2016-11-30_15:22:14.304202,2,28,Mens et manus.
sync,2016-11-30_15:24:53.026230,8,13,I_AM_THE_LEADER
sync,2016-11-30_15:25:32.964974,2,179,Mens et manus.
sync,2016-11-30_15:28:13.515253,8,154,I_AM_THE_LEADER
sync,2016-11-30_15:29:32.808439,6,123,Mens et manus.
sync,2016-11-30_15:30:23.115065,1,12,Mens et manus.
sync,2016-11-30_15:32:02.723160,1,133,Mens et manus.
sync,2016-11-30_15:34:52.114924,8,17,I_AM_THE_LEADER
sync,2016-11-30_15:35:22.510937,1,245,Mens et manus.
